 ,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,SVM,SVM,SVM,SVM,SVM,SVM,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks
User,Precision,Recall,F1Score,TPR,FPR,RoC AUC,Precision,Recall,F1Score,TPR,FPR,RoC AUC,Precision,Recall,F1Score,TPR,FPR,RoC AUC
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
2,1,0.96552,0.98246,0.96552,0,0.98276,1,1,1,1,0,1,1,1,1,1,0,1
3,0.85294,0.96667,0.90625,0.96667,0.15625,0.90521,1,1,1,1,0,1,1,1,1,1,0,1
4,0.96774,1,0.98361,1,0.03125,0.98438,0.96774,1,0.98361,1,0.03125,0.98438,1,0.96667,0.98305,0.96667,0,0.98333
5,0.93103,0.87097,0.9,0.87097,0.064516,0.90323,0.93333,0.90323,0.91803,0.90323,0.064516,0.91935,0.93333,0.90323,0.91803,0.90323,0.064516,0.91935
6,0.96667,0.93548,0.95082,0.93548,0.032258,0.95161,1,1,1,1,0,1,1,1,1,1,0,1
7,0.97059,0.97059,0.97059,0.97059,0.035714,0.96744,1,0.91176,0.95385,0.91176,0,0.95588,1,1,1,1,0,1
8,0.81818,0.96429,0.88525,0.96429,0.17647,0.89391,0.96429,0.96429,0.96429,0.96429,0.029412,0.96744,0.96429,0.96429,0.96429,0.96429,0.029412,0.96744
9,0.9697,0.9697,0.9697,0.9697,0.034483,0.96761,1,1,1,1,0,1,1,0.9697,0.98462,0.9697,0,0.98485
10,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
11,0.96296,0.86667,0.91228,0.86667,0.03125,0.91771,1,1,1,1,0,1,0.96774,1,0.98361,1,0.03125,0.98438
12,0.88,0.88,0.88,0.88,0.081081,0.89946,1,1,1,1,0,1,1,1,1,1,0,1
13,0.92593,1,0.96154,1,0.054054,0.97297,0.96154,1,0.98039,1,0.027027,0.98649,1,1,1,1,0,1
14,1,0.93103,0.96429,0.93103,0,0.96552,1,1,1,1,0,1,1,1,1,1,0,1
15,0.96667,1,0.98305,1,0.030303,0.98485,1,0.93103,0.96429,0.93103,0,0.96552,1,0.96552,0.98246,0.96552,0,0.98276
16,1,1,1,1,0,1,1,1,1,1,0,1,1,0.96875,0.98413,0.96875,0,0.98438
17,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
18,1,0.91892,0.95775,0.91892,0,0.95946,1,1,1,1,0,1,1,1,1,1,0,1
19,1,0.93103,0.96429,0.93103,0,0.96552,1,1,1,1,0,1,1,1,1,1,0,1
20,1,1,1,1,0,1,1,1,1,1,0,1,0.96552,0.93333,0.94915,0.93333,0.03125,0.95104
21,0.96774,1,0.98361,1,0.03125,0.98438,1,1,1,1,0,1,1,0.96667,0.98305,0.96667,0,0.98333
22,0.96875,1,0.98413,1,0.032258,0.98387,1,1,1,1,0,1,1,1,1,1,0,1
23,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
24,1,0.76471,0.86667,0.76471,0,0.88235,1,1,1,1,0,1,1,1,1,1,0,1
25,0.97059,0.97059,0.97059,0.97059,0.035714,0.96744,0.97143,1,0.98551,1,0.035714,0.98214,0.97143,1,0.98551,1,0.035714,0.98214
26,1,1,1,1,0,1,1,0.96667,0.98305,0.96667,0,0.98333,1,0.93333,0.96552,0.93333,0,0.96667
27,1,0.95833,0.97872,0.95833,0,0.97917,1,0.95833,0.97872,0.95833,0,0.97917,1,1,1,1,0,1
28,0.93548,0.96667,0.95082,0.96667,0.0625,0.95208,1,1,1,1,0,1,1,1,1,1,0,1
29,0.95833,0.95833,0.95833,0.95833,0.026316,0.96601,1,1,1,1,0,1,1,1,1,1,0,1
30,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
31,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
32,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
33,1,1,1,1,0,1,0.96774,1,0.98361,1,0.03125,0.98438,1,1,1,1,0,1
